division_number,date_reported,date_occurred,area,area_name,reporting_district,part,crime_code,crime_description,modus_operandi,victim_age,victim_sex,victim_descent,premise_code,premise_description,weapon_code,weapon_description,status,status_description,crime_code_1,crime_code_2,crime_code_3,crime_code_4,location,cross_street,latitude,longitude,case_number
230125295,01-12-2023,30-11-2023 18:51,1,Central,162,1,330,BURGLARY FROM VEHICLE,0329 0344,39,F,B,108,PARKING LOT,,,IC,Invest Cont,330,,,,700 S  HOPE                         ST,,34.048,-118.2577,415
230320682,02-12-2023,02-12-2023 06:00,3,Southwest,328,1,310,BURGLARY,1822 0342 0209 0344 1601 0329 0324,22,X,X,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310,,,,3000 S  FIGUEROA                     ST,,34.0268,-118.2808,416
231116326,01-12-2023,30-11-2023 18:00,11,Northeast,1179,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200 E  AVENUE 38,,34.0897,-118.2105,417
231518449,02-12-2023,02-12-2023 14:30,15,N Hollywood,1549,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1402 0443,39,M,B,102,SIDEWALK,511,VERBAL THREAT,IC,Invest Cont,930,998,,,5300    LANKERSHIM                   BL,,34.172,-118.3789,418
230717919,03-12-2023,02-12-2023 17:45,7,Wilshire,747,1,330,BURGLARY FROM VEHICLE,0358 1307 1609 0344 1822,54,F,W,102,SIDEWALK,,,IC,Invest Cont,330,,,,5100 W  9TH                          ST,,34.0588,-118.3407,419
231718636,01-12-2023,01-12-2023 09:00,17,Devonshire,1751,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,37,M,W,215,"TRAIN DEPOT/TERMINAL, OTHER THAN MTA",,,IC,Invest Cont,341,,,,10000    OLD DEPOT PLAZA              RD,,34.25,-118.599,420
231614648,03-12-2023,03-12-2023 13:00,16,Foothill,1681,2,354,THEFT OF IDENTITY,1822 0922,26,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,12500    ROSCOE                       BL,,34.2217,-118.4053,421
230516431,01-12-2023,01-12-2023 22:50,5,Harbor,585,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,30,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,745,,,,600 W  24TH                         ST,,33.7225,-118.2902,422
230415013,04-12-2023,08-04-2023 23:10,4,Hollenbeck,453,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 0913,0,,,710,OTHER PREMISE,,,IC,Invest Cont,956,,,,200    ECHANDIA                     ST,,34.0494,-118.2204,423
231518380,01-12-2023,29-11-2023 13:55,15,N Hollywood,1506,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,20,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,7100    VINELAND                     AV,,34.2027,-118.3745,424
230414903,01-12-2023,30-11-2023 21:00,4,Hollenbeck,487,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),344,49,F,H,301,GAS STATION,,,IC,Invest Cont,442,,,,SOTO                         ST,8TH                          ST,34.0281,-118.2194,425
230221987,03-12-2023,02-12-2023 18:00,2,Rampart,237,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200    WITMER                       ST,,34.061,-118.2615,426
230320724,03-12-2023,02-12-2023 23:44,3,Southwest,328,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,26,F,H,722,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,,,IC,Invest Cont,341,,,,600 W  JEFFERSON                    BL,,34.0225,-118.2812,427
230817553,01-12-2023,01-12-2023 18:15,8,West LA,806,2,647,THROWING OBJECT AT MOVING VEHICLE,1822 1307 1300,44,F,O,122,"VEHICLE, PASSENGER/TRUCK",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,647,,,,700 N  BEVERLY GLEN                 BL,,34.0956,-118.451,428
230717901,01-12-2023,24-11-2023 13:26,7,Wilshire,736,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 1822 0325 0104,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,400 S  LA BREA                      AV,,34.0669,-118.3456,429
230916959,01-12-2023,28-11-2023 16:54,9,Van Nuys,914,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394,32,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,14500    SHERMAN                      CR,,34.1976,-118.4574,430
